network,state,site_name,description,start,end,latitude,longitude,elev,county,site_id
SNTL,CO,upper san juan ,Wolf Creek (140801010203),1978-10-01,2023-05-07,37.49,-106.84,3091,Mineral,840
SNTL,CO,vail mountain ,Middle Gore Creek (140100030102),1978-10-01,2023-05-07,39.62,-106.38,3142,Eagle,842
SNTL,CO,willow creek pass ,Upper Willow Creek (140100010102),1978-10-01,2023-05-07,40.35,-106.1,2903,Grand,869
SNTL,ID,atlanta summit ,Bald Mountain Creek-Middle Fork Boise River (170501110204),1978-10-01,2023-05-07,43.76,-115.24,2310,Elmore,306
SNTL,ID,cozy cove ,Deadwood River-Deadwood Reservoir (170501200403),1978-10-01,2023-05-07,44.29,-115.66,1646,Valley,423
SNTL,ID,deadwood summit ,Stratton Creek-Deadwood River (170501200401),1978-10-01,2023-05-07,44.55,-115.56,2091,Valley,439
SNTL,ID,franklin basin ,Upper Cub River (160102020501),1978-10-01,2023-05-07,42.05,-111.6,2481,Franklin,484
SNTL,ID,galena summit ,Headwaters Big Wood River (170402190101),1978-10-01,2023-05-07,43.87,-114.71,2676,Blaine,490
SNTL,ID,graham guard sta. ,Big Silver Creek-North Fork Boise River (170501110303),1978-10-01,2023-05-07,43.95,-115.27,1734,Elmore,496
SNTL,ID,howell canyon ,Howell Creek (170402090602),1978-10-01,2023-05-07,42.32,-113.62,2432,Cassia,534
SNTL,ID,humboldt gulch ,Canyon Creek-Upper South Fork Coeur d'Alene River (170103020102),1978-10-01,2023-05-07,47.53,-115.78,1295,Shoshone,535
SNTL,ID,lookout ,Little North Fork South Fork Coeur d'Alene River-South Fork Coeur d'Alene River (170103020101),1978-10-01,2023-05-07,47.46,-115.7,1582,Shoshone,594
SNTL,ID,mill creek summit ,Upper Yankee Fork (170602010501),1978-10-01,2023-05-07,44.47,-114.49,2682,Custer,627
SNTL,ID,mosquito ridge ,Upper North Fork Coeur d'Alene River (170103010101),1978-10-01,2023-05-07,48.06,-116.23,1603,Shoshone,645
SNTL,ID,sheep mtn. ,Horse Creek-Willow Creek (170402050304),1978-10-01,2023-05-07,43.21,-111.69,2027,Bingham,749
SNTL,ID,slug creek divide ,Headwaters Slug Creek (170402070201),1978-10-01,2023-05-07,42.56,-111.3,2202,Caribou,761
SNTL,ID,somsen ranch ,Upper Lanes Creek (170402070101),1978-10-01,2023-05-07,42.95,-111.36,2073,Caribou,770
SNTL,ID,south mtn. ,Deer Creek-Big Boulder Creek (170501080205),1978-10-01,2023-05-07,42.76,-116.9,1981,Owyhee,774
